犬/いぬ,dog
猫/ねこ,cat
鳥/とり,bird
水/みず,water
象/ぞう,elephant
綺麗/きれい,beautiful
生活/せいかつ,life
正解/せいかい,correct
最高/さいこ,best
紅葉/もみじ,autumn foliage
動物/どうぶつ,animal
カメラ,camera
家/いえ,home
駅/えき,station
車/くるま,car
電車/でんしゃ,train
学校/がっこう,school
先生/せんせい,teacher
学生/がくせい,student
友達/ともだち,friend
時間/じかん,time
今日/きょう,today
明日/あした,tomorrow
昨日/きのう,yesterday
朝/あさ,morning
夜/よる,night
食べ物/たべもの,food
飲み物/のみもの,drink
水曜日/すいようび,wednesday
木曜日/もくようび,thursday
金曜日/きんようび,friday
土曜日/どようび,saturday
日曜日/にちようび,sunday
天気/てんき,weather
雨/あめ,rain
雪/ゆき,snow
風/かぜ,wind
山/やま,mountain
川/かわ,river
海/うみ,sea
空/そら,sky
花/はな,flower
木/き,tree
森/もり,forest
ご飯/ごはん,rice
パン,bread
肉/にく,meat
魚/さかな,fish
野菜/やさい,vegetable
果物/くだもの,fruit
牛乳/ぎゅうにゅう,milk
お茶/おちゃ,tea
コーヒー,coffee
砂糖/さとう,sugar
塩/しお,salt
料理/りょうり,cooking
店/みせ,shop
会社/かいしゃ,company
仕事/しごと,work
電話/でんわ,phone
机/つくえ,desk
椅子/いす,chair
部屋/へや,room
窓/まど,window
ドア,door
鍵/かぎ,key
人数確認/にんかくにん,confirm
木/き,tree
寿司/sushi,sushi
